"Canton";"Vehicle group / type";"Year of first registration";"Fuel";"2021"
"Switzerland";"> Passenger cars";"Before 1960";"Electricity";7
"Switzerland";"> Passenger cars";"1960 - 1979";"Electricity";18
"Switzerland";"> Passenger cars";"1980 - 1989";"Electricity";18
"Switzerland";"> Passenger cars";"1990 - 1999";"Electricity";110
"Switzerland";"> Passenger cars";"2000 - 2004";"Electricity";56
"Switzerland";"> Passenger cars";"2005 - 2009";"Electricity";86
"Switzerland";"> Passenger cars";"2010 - 2014";"Electricity";3987
"Switzerland";"> Passenger cars";"2015";"Electricity";3323
"Switzerland";"> Passenger cars";"2016";"Electricity";3163
"Switzerland";"> Passenger cars";"2017";"Electricity";4432
"Switzerland";"> Passenger cars";"2018";"Electricity";4904
"Switzerland";"> Passenger cars";"2019";"Electricity";12627
"Switzerland";"> Passenger cars";"2020";"Electricity";17707
"Switzerland";"> Passenger cars";"2021";"Electricity";19785
"Switzerland";"> Passenger cars";"Unknown";"Electricity";0
"Switzerland";"> Motorcycles";"Before 1960";"Electricity";0
"Switzerland";"> Motorcycles";"1960 - 1979";"Electricity";3
"Switzerland";"> Motorcycles";"1980 - 1989";"Electricity";10
"Switzerland";"> Motorcycles";"1990 - 1999";"Electricity";269
"Switzerland";"> Motorcycles";"2000 - 2004";"Electricity";122
"Switzerland";"> Motorcycles";"2005 - 2009";"Electricity";219
"Switzerland";"> Motorcycles";"2010 - 2014";"Electricity";4926
"Switzerland";"> Motorcycles";"2015";"Electricity";1327
"Switzerland";"> Motorcycles";"2016";"Electricity";1092
"Switzerland";"> Motorcycles";"2017";"Electricity";812
"Switzerland";"> Motorcycles";"2018";"Electricity";1344
"Switzerland";"> Motorcycles";"2019";"Electricity";2147
"Switzerland";"> Motorcycles";"2020";"Electricity";2543
"Switzerland";"> Motorcycles";"2021";"Electricity";2141
"Switzerland";"> Motorcycles";"Unknown";"Electricity";0
"Zürich";"> Passenger cars";"Before 1960";"Electricity";5
"Zürich";"> Passenger cars";"1960 - 1979";"Electricity";3
"Zürich";"> Passenger cars";"1980 - 1989";"Electricity";2
"Zürich";"> Passenger cars";"1990 - 1999";"Electricity";3
"Zürich";"> Passenger cars";"2000 - 2004";"Electricity";1
"Zürich";"> Passenger cars";"2005 - 2009";"Electricity";13
"Zürich";"> Passenger cars";"2010 - 2014";"Electricity";910
"Zürich";"> Passenger cars";"2015";"Electricity";762
"Zürich";"> Passenger cars";"2016";"Electricity";679
"Zürich";"> Passenger cars";"2017";"Electricity";986
