Nr.;Measuring station;Ct;Road;;1;2;3;4;5;6;7;8;9;10;11;12;2021
2;CHALET-A-GOBET;VD;H 1;ADT;0;0;15068;15499;15470;17055;0;0;16331;16093;16716;14384;0
5;SCHWANDEN N;GL;H 17;ADT;5521;6374;6537;6549;6731;8134;7208;7574;8023;7355;6579;6430;6918
9;BRUENIG, LETZI;OW;A 8;ADT;4770;6733;6171;7871;8147;9413;9984;11339;9854;8876;5574;5580;7865
10;HOSPENTAL S, ST. GOTTHARD;UR;H 2;ADT;0;0;0;0;0;0;0;6548;5124;2699;0;0;0
14;JULIER, SILVAPLANA;GR;H 3;ADT;2741;4225;3886;3133;2654;3460;4172;4447;3649;3249;2177;3455;3434
16;TWANN, WINGREIS (AS);BE;A 5;ADT;10043;11389;12546;13335;13751;14666;13865;14314;14803;14300;13904;12240;13268
17;BUCHS AG (AB);AG;A 1R;ADT;30142;33311;39356;38252;37537;40205;35522;43233;46389;44618;46651;42601;39838
18;MEIRINGEN E, LAMMI;BE;H 6;ADT;1957;2439;2442;2729;3072;5288;7066;8100;6823;4919;2366;2199;4128
20;UMF. ZUERICH N, AFFOLTERN (AB);ZH;A 1C;ADT;82594;90448;96624;99244;97794;103685;106912;109257;113433;113473;109735;102575;102196
22;KRIESSERN (AB);SG;A 13;ADT;25342;30111;32036;31460;32867;37556;36825;39230;41509;39154;35667;33417;34613
23;MATTSTETTEN (AB);BE;A 1;ADT;58008;63992;70534;73707;74896;79528;82086;85107;83869;83464;78735;74595;75771
24;ROLLE (AR);VD;A 1;ADT;55921;58020;64740;66287;67811;74766;77385;77579;81174;78686;77196;69909;70850
25;BAD RAGAZ (AB);SG;A 13;ADT;35993;46482;45665;42485;43523;49259;54665;57228;54767;52440;42310;46762;47646
26;ENNETHORW (AB);LU;A 2;ADT;0;0;0;0;0;0;0;0;0;0;59467;55450;0
27;DISENTIS E;GR;H 19;ADT;1807;2323;2182;2252;2712;3405;3961;4340;3739;3020;1988;2047;2818
30;SOYHIERES;JU;H 18;ADT;3581;3911;4272;4896;4792;5101;4907;4986;5195;5143;4547;4183;4629
32;DEITINGEN (AB);SO;A 1;ADT;63436;70935;76237;80356;82058;86811;88560;92050;91281;89924;84947;79083;82191
33;EPTINGEN N (AB);BL;A 2;ADT;36690;41153;45053;44982;49142;55721;65187;70387;64887;62396;53945;50404;53412
35;TRUEBBACH S (AB);SG;A 13;ADT;25947;31782;34351;33881;36368;42024;43511;0;0;0;37726;36326;0
38;STARRKIRCH;SO;H 5;ADT;13165;14334;15858;15365;15154;16109;14458;15023;16339;15906;16310;15338;15279
40;ALPNACHSTAD (AS);OW;A 8;ADT;21833;25271;26230;27377;27744;29563;28658;29507;29805;28712;25940;24005;27056
41;GRAND-ST-BERNARD (TUNNEL);VS;H 21;ADT;638;956;744;722;1266;1530;3092;3025;2430;2442;1531;1336;1649
42;UMF. BERN OST (AB);BE;A 6;ADT;61031;69164;73120;74276;74010;0;0;0;0;0;0;0;0
43;PREVERENGES (AR);VD;A 1;ADT;72777;75878;86630;87632;88334;97306;0;0;0;0;0;0;0
44;SAN BERNARDINO (TUNNEL);GR;A 13;ADT;2686;3901;3998;5024;7200;7775;12001;13067;10368;8439;4231;4194;6932
49;STANSSTAD S (AB);NW;A 2;ADT;29554;34428;36238;37472;39031;44065;50019;52108;48237;45221;39122;36760;41062
50;BRUNNEN, MOSITUNNEL;SZ;A 4;ADT;9025;10703;12372;13376;14969;16966;16949;19096;18040;17051;13361;12479;14554
51;STABIO;TI;H 394;ADT;0;11453;11851;12216;12479;15707;17258;0;0;0;0;0;0
53;WEESEN, KERENZERBERG (AB);GL;A 3;ADT;28445;36946;34281;31911;32195;35422;38033;40008;39340;39953;31495;35458;35285
54;ADLISWIL (AB);ZH;A 3;ADT;44054;49890;51972;53298;53567;60371;58760;58152;61727;58483;55643;53186;54936
55;RICHTERSWIL (AB);ZH;A 3;ADT;46002;53834;55361;56326;56147;62714;61829;61207;64191;62780;56886;54482;57652
56;SCHOENBUEHL, GRAUHOLZ (AB);BE;A 1;ADT;81734;90795;99595;103184;104614;111689;112208;117090;116296;113678;109654;102590;105325
59;TRAV. DE NEUCHATEL E (AR);NE;A 5;ADT;34077;37313;40929;41760;41873;42443;39372;42154;45979;44185;46133;41090;41447
60;GUNZGEN (AB);SO;A 1;ADT;65687;76181;83187;87975;90064;96789;101391;107742;105189;100052;92714;84395;91017
64;CONT. DE LAUSANNE (AR);VD;A 9;ADT;78073;84857;90473;88709;90108;98031;93464;93186;97939;96558;95316;88762;91302
66;SCHLIEREN (AB);ZH;A 1;ADT;27847;30491;34911;35585;35282;38282;35866;36013;38452;38079;37910;33381;35187
67;NATERS, BITSCH;VS;H 19;ADT;5187;6656;6354;6231;6197;8015;9571;10591;9100;7920;5914;6055;7321
68;COLOVREX-LAC (AR);GE;A 1;ADT;14565;16434;17494;18167;17957;0;18327;18193;19935;19508;19552;0;0
69;COLOVREX-AEROPORT (AR);GE;A 1A;ADT;40898;39730;44008;45048;47380;57916;57701;58852;59768;59955;57387;51665;51754
70;BASEL, SCHWARZWALDBR. (AB);BS;A 2;ADT;58518;60742;66795;65687;70897;81601;89984;92430;89115;87923;80948;76091;76831
72;HUNZENSCHWIL (AB);AG;A 1;ADT;51281;58889;65352;68975;69290;73958;71609;74596;77825;74880;72405;65358;68732
73;HAERKINGEN (AB);SO;A 1;ADT;40739;47431;51155;55844;55652;57832;57390;59367;60524;58834;55613;50627;54272
75;BOWIL, BORI;BE;H 10;ADT;8536;9479;10560;10866;10894;11725;11018;11606;11874;11681;11488;10318;10841
77;CHIASSO-BROGEDA (AS);TI;A 2;ADT;23162;28472;28073;30054;36051;42491;47624;46686;46404;43118;39798;38434;37582
78;PAYERNE S;VD;H 1;ADT;7568;8422;9497;9655;9636;10287;9200;0;0;9550;9867;8705;0
79;SEEBERG N;BE;H 1;ADT;5076;5548;6186;6651;6769;7236;6791;7265;7451;7269;7051;6544;6657
81;MUTTENZ, HARD (AB);BL;A 2;ADT;97551;102891;114987;114641;117457;129885;131846;137965;136439;134083;127388;119572;122161
82;GOSSAU (AB);SG;A 1;ADT;42741;47852;53404;54307;55858;61965;60746;63556;65974;64345;60814;55791;57319
83;VILLENEUVE (AR);VD;A 9;ADT;55272;63335;63645;62882;61081;65583;69498;71181;69220;68979;63742;62594;64756
84;ST. GALLEN, ROSENB'TUNNEL (AB);SG;A 1;ADT;56287;62698;70413;70082;71792;78744;74752;77189;80201;78160;75870;69781;72197
87;GUETTINGEN;TG;H 13;ADT;6777;7972;8846;9256;9877;10985;10951;11017;10785;9772;9291;8519;9510
95;THUN, ALLMENDTUNNEL (AB);BE;A 6;ADT;0;0;0;0;0;0;0;0;0;0;0;41828;0
96;DOMAT/EMS (AB);GR;A 13;ADT;24073;30858;31092;30580;32665;36467;39767;43047;40187;37616;29678;30509;33899
97;BADEN, BAREGGTUNNEL (AB);AG;A 1;ADT;88533;99532;110253;112849;114028;122801;119663;124562;0;0;0;0;0
98;CASTASEGNA;GR;H 3;ADT;1934;2584;2500;2348;2314;3747;4500;5314;4344;4019;3302;3814;3399
99;UMF. S-CHANF;GR;H 27;ADT;2376;2905;2877;2709;2847;4158;4850;5087;4510;3994;2874;3070;3526
100;CIRCONVAL. BELLINZONA (AS);TI;A 2;ADT;29219;35454;38513;41845;47478;52400;65452;69022;61668;55437;41996;38974;48211
102;RHEINFELDEN (AB);AG;A 3;ADT;44711;49171;54709;54565;57280;63281;61704;64149;66714;66784;64455;57952;58831
104;MURI BE S (AB);BE;A 6;ADT;0;0;0;0;0;0;0;60935;59891;58375;56140;53432;0
105;BAAR N (AB);ZG;A 14;ADT;15701;18712;20936;21346;21796;0;0;22286;24642;23480;22369;19109;0
107;WUENNEWIL (AB);FR;A 12;ADT;0;0;0;0;25130;24554;27530;28335;27496;27781;25391;23977;0
